0 031, 1 02e, 2 035, 4 031, 6 030, 8 030, 10 03d, 12 02d, 14 02d, 16 036, 18 03f, 20 046, 22 047, 24 041, 26 030, 28 036, 30 030, 32 033, 34 033
0 021, 1 027, 2 022, 4 021, 6 020, 8 025, 10 020, 12 025, 14 027, 16 024, 18 025, 20 02d, 22 030, 24 030, 26 032, 28 02f, 30 036, 32 038, 34 03c
0 018, 1 02d, 2 020, 4 023, 6 024, 8 026, 10 01b, 12 022, 14 02e, 16 03f, 18 049, 20 058, 22 06f, 24 068, 26 069, 28 062, 30 053, 32 044, 34 040
0 026, 1 01d, 2 023, 4 020, 6 020, 8 01c, 10 01f, 12 01a, 14 019, 16 01a, 18 019, 20 01c, 22 024, 24 02a, 26 02e, 28 02b, 30 02d, 32 02f, 34 02e
0 032, 1 03a, 2 02c, 4 02e, 6 031, 8 039, 10 03c, 12 038, 14 033, 16 038, 18 041, 20 04b, 22 050, 24 050, 26 04a, 28 048, 30 03f, 32 037, 34 034
0 018, 1 00c, 2 030, 4 027, 6 01f, 8 018, 10 019, 12 016, 14 012, 16 017, 18 017, 20 010, 22 013, 24 011, 26 011, 28 011, 30 00c, 32 00e, 34 014
0 025, 1 02d, 2 02f, 4 02f, 6 02d, 8 02b, 10 031, 12 023, 14 01b, 16 02c, 18 03a, 20 043, 22 041, 24 03a, 26 030, 28 034, 30 036, 32 039, 34 02a
0 027, 1 01b, 2 029, 4 027, 6 032, 8 033, 10 03b, 12 029, 14 02c, 16 038, 18 036, 20 01f, 22 019, 24 01e, 26 025, 28 020, 30 026, 32 026, 34 029
0 042, 1 03f, 2 033, 4 035, 6 032, 8 031, 10 034, 12 031, 14 030, 16 02f, 18 032, 20 037, 22 03b, 24 03d, 26 041, 28 043, 30 04a, 32 052, 34 055
0 06a, 1 062, 2 060, 4 066, 6 06f, 8 07b, 10 07c, 12 064, 14 064, 16 074, 18 07b, 20 078, 22 072, 24 068, 26 066, 28 067, 30 069, 32 068, 34 06e
0 024, 1 011, 2 01b, 4 01b, 6 019, 8 014, 10 019, 12 016, 14 019, 16 01b, 18 01b, 20 01b, 22 01b, 24 018, 26 015, 28 011, 30 019, 32 025, 34 032
0 01d, 1 01a, 2 01b, 4 019, 6 01a, 8 01a, 10 019, 12 01c, 14 021, 16 016, 18 019, 20 025, 22 02c, 24 02c, 26 037, 28 031, 30 02c, 32 024, 34 025
0 01e, 1 040, 2 034, 4 03b, 6 053, 8 05f, 10 061, 12 05b, 14 059, 16 051, 18 040, 20 040, 22 034, 24 03b, 26 041, 28 037, 30 02f, 32 02b, 34 02a
0 04f, 1 040, 2 053, 4 04e, 6 048, 8 042, 10 043, 12 037, 14 030, 16 031, 18 03b, 20 038, 22 042, 24 03c, 26 03d, 28 043, 30 04e, 32 052, 34 053
0 01a, 1 01e, 2 023, 4 01f, 6 01b, 8 01a, 10 018, 12 01d, 14 022, 16 025, 18 01e, 20 019, 22 01b, 24 01f, 26 026, 28 029, 30 02e, 32 031, 34 035
0 02b, 1 033, 2 03b, 4 044, 6 042, 8 042, 10 048, 12 043, 14 045, 16 042, 18 048, 20 048, 22 045, 24 03d, 26 031, 28 035, 30 03c, 32 03f, 34 044
0 064, 1 026, 2 036, 4 039, 6 040, 8 039, 10 02b, 12 02a, 14 020, 16 021, 18 024, 20 025, 22 021, 24 022, 26 029, 28 032, 30 04c, 32 05d, 34 06f
0 039, 1 04f, 2 03d, 4 03e, 6 039, 8 035, 10 02e, 12 032, 14 03f, 16 040, 18 058, 20 068, 22 074, 24 075, 26 073, 28 06b, 30 05e, 32 055, 34 058
0 01f, 1 01f, 2 03b, 4 035, 6 025, 8 02a, 10 038, 12 037, 14 02a, 16 01e, 18 01d, 20 021, 22 025, 24 028, 26 02a, 28 029, 30 032, 32 03b, 34 040
0 020, 1 031, 2 02e, 4 027, 6 024, 8 026, 10 027, 12 024, 14 02b, 16 035, 18 040, 20 046, 22 04a, 24 048, 26 042, 28 045, 30 03e, 32 038, 34 033
0 02f, 1 026, 2 044, 4 031, 6 033, 8 02f, 10 039, 12 02a, 14 02a, 16 035, 18 03a, 20 02f, 22 02b, 24 02a, 26 029, 28 02d, 30 034, 32 03b, 34 043
0 027, 1 029, 2 03b, 4 032, 6 02c, 8 025, 10 025, 12 025, 14 025, 16 025, 18 033, 20 030, 22 038, 24 032, 26 02d, 28 023, 30 01b, 32 01c, 34 01a
0 016, 1 01b, 2 02b, 4 02a, 6 029, 8 024, 10 01f, 12 027, 14 02c, 16 028, 18 02d, 20 026, 22 01f, 24 019, 26 014, 28 017, 30 01f, 32 029, 34 028
0 038, 1 024, 2 03e, 4 033, 6 02a, 8 02a, 10 031, 12 02f, 14 02c, 16 020, 18 01f, 20 020, 22 027, 24 020, 26 021, 28 020, 30 02a, 32 030, 34 03b
0 04d, 1 01a, 2 039, 4 02b, 6 026, 8 021, 10 036, 12 027, 14 025, 16 01f, 18 02a, 20 01e, 22 01a, 24 01f, 26 02b, 28 02d, 30 03a, 32 045, 34 049
0 013, 1 019, 2 019, 4 018, 6 014, 8 015, 10 013, 12 01b, 14 026, 16 02e, 18 03a, 20 03a, 22 030, 24 027, 26 020, 28 01e, 30 01c, 32 01c, 34 01f
0 025, 1 024, 2 03d, 4 039, 6 035, 8 032, 10 036, 12 01f, 14 01f, 16 026, 18 02c, 20 02f, 22 034, 24 033, 26 028, 28 02c, 30 028, 32 025, 34 020
0 021, 1 01a, 2 027, 4 023, 6 020, 8 01d, 10 01a, 12 01e, 14 025, 16 026, 18 023, 20 01f, 22 01f, 24 01c, 26 023, 28 01d, 30 01e, 32 022, 34 024
0 03f, 1 039, 2 050, 4 053, 6 04a, 8 042, 10 035, 12 03d, 14 03f, 16 039, 18 036, 20 036, 22 034, 24 036, 26 03d, 28 041, 30 046, 32 04b, 34 04a
0 03f, 1 01f, 2 05c, 4 05e, 6 060, 8 069, 10 080, 12 064, 14 059, 16 061, 18 069, 20 055, 22 058, 24 04d, 26 046, 28 049, 30 03f, 32 036, 34 031
0 020, 1 020, 2 028, 4 02c, 6 02f, 8 02b, 10 029, 12 025, 14 02d, 16 036, 18 038, 20 03b, 22 030, 24 02d, 26 02d, 28 027, 30 020, 32 01c, 34 01d
0 023, 1 022, 2 02b, 4 029, 6 024, 8 021, 10 01b, 12 025, 14 02b, 16 02f, 18 032, 20 02f, 22 02e, 24 024, 26 017, 28 01c, 30 018, 32 014, 34 012
0 036, 1 038, 2 037, 4 03d, 6 041, 8 040, 10 03f, 12 036, 14 02d, 16 029, 18 02b, 20 02f, 22 037, 24 03e, 26 03a, 28 041, 30 042, 32 043, 34 041
0 01f, 1 01e, 2 02f, 4 031, 6 02b, 8 020, 10 026, 12 02b, 14 035, 16 035, 18 031, 20 027, 22 01b, 24 01b, 26 01f, 28 01b, 30 01d, 32 021, 34 021
0 014, 1 02a, 2 012, 4 01a, 6 01f, 8 027, 10 022, 12 025, 14 028, 16 02e, 18 035, 20 03e, 22 03f, 24 03e, 26 040, 28 039, 30 02a, 32 01b, 34 01f
0 033, 1 037, 2 039, 4 035, 6 037, 8 03b, 10 041, 12 042, 14 03b, 16 039, 18 041, 20 03e, 22 03a, 24 039, 26 03a, 28 039, 30 035, 32 033, 34 033
