0 11d, 1 191, 2 2f6, 4 230, 6 15e, 8 08b, 10 083, 12 0d0, 14 16d, 16 1a8, 18 1c9, 20 1c5, 22 1c7, 24 1c3, 26 193, 28 1c3, 30 1c3, 32 1c3, 34 1c3
0 123, 1 10f, 2 10c, 4 0ef, 6 0bb, 8 137, 10 187, 12 1c6, 14 26b, 16 2d0, 18 370, 20 303, 22 2f5, 24 2c5, 26 20d, 28 241, 30 1d9, 32 17f, 34 14c
0 13a, 1 124, 2 1fa, 4 1ef, 6 1e0, 8 1c5, 10 1b0, 12 190, 14 15d, 16 127, 18 0f1, 20 0d6, 22 0d0, 24 0c8, 26 0c0, 28 0c8, 30 0c8, 32 0c8, 34 0c8
0 012, 1 011, 2 018, 4 016, 6 014, 8 011, 10 016, 12 018, 14 01e, 16 022, 18 02c, 20 031, 22 030, 24 027, 26 01a, 28 01d, 30 017, 32 018, 34 022
0 025, 1 02a, 2 036, 4 036, 6 035, 8 037, 10 032, 12 039, 14 039, 16 033, 18 032, 20 02b, 22 028, 24 026, 26 025, 28 025, 30 025, 32 028, 34 02c
0 0b0, 1 0a0, 2 098, 4 093, 6 0ac, 8 0a7, 10 0a0, 12 0a0, 14 0a0, 16 0a0, 18 0a0, 20 0a0, 22 0a0, 24 0a0, 26 0a0, 28 0a0, 30 09f, 32 09d, 34 09b
0 17f, 1 21a, 2 201, 4 194, 6 11f, 8 112, 10 15a, 12 1b3, 14 21c, 16 24e, 18 273, 20 27c, 22 287, 24 287, 26 25f, 28 283, 30 280, 32 27e, 34 27e
0 080, 1 019, 2 162, 4 09b, 6 05c, 8 031, 10 015, 12 017, 14 019, 16 01e, 18 020, 20 023, 22 026, 24 027, 26 025, 28 027, 30 027, 32 027, 34 027
0 01f, 1 019, 2 019, 4 019, 6 019, 8 019, 10 019, 12 01a, 14 01d, 16 020, 18 021, 20 024, 22 026, 24 027, 26 027, 28 027, 30 027, 32 027, 34 027
0 18e, 1 10c, 2 4b8, 4 413, 6 352, 8 28d, 10 218, 12 17a, 14 0fa, 16 0bc, 18 0b7, 20 0e9, 22 120, 24 129, 26 0c4, 28 128, 30 128, 32 128, 34 128
0 169, 1 1d1, 2 164, 4 114, 6 0d8, 8 10e, 10 149, 12 188, 14 1d8, 16 202, 18 21c, 20 21b, 22 228, 24 22b, 26 20d, 28 22b, 30 22b, 32 22b, 34 22b
0 0a8, 1 219, 2 163, 4 0b6, 6 0c7, 8 173, 10 1d6, 12 254, 14 2f1, 16 331, 18 358, 20 32c, 22 300, 24 28a, 26 1f5, 28 1cd, 30 129, 32 0c8, 34 0ec
0 10b, 1 125, 2 15a, 4 161, 6 17f, 8 16e, 10 12b, 12 158, 14 122, 16 0e1, 18 0e9, 20 0aa, 22 0d7, 24 139, 26 170, 28 17e, 30 1a1, 32 1c8, 34 237
0 11c, 1 136, 2 1f5, 4 1dd, 6 1ba, 8 194, 10 196, 12 155, 14 126, 16 100, 18 126, 20 100, 22 14c, 24 17e, 26 17b, 28 179, 30 14d, 32 125, 34 131
0 245, 1 27c, 2 2b6, 4 2b1, 6 291, 8 1fa, 10 1b5, 12 142, 14 186, 16 218, 18 27b, 20 294, 22 2b3, 24 2a6, 26 26d, 28 283, 30 277, 32 27d, 34 296
0 087, 1 0d4, 2 1d7, 4 142, 6 12b, 8 157, 10 14a, 12 1ae, 14 1be, 16 1dc, 18 1a6, 20 172, 22 1b5, 24 226, 26 28b, 28 275, 30 263, 32 21b, 34 1a6
0 114, 1 13b, 2 153, 4 158, 6 15f, 8 161, 10 195, 12 151, 14 168, 16 148, 18 14a, 20 14b, 22 14e, 24 14e, 26 177, 28 12b, 30 10c, 32 0f2, 34 0dc
